task_id,p_hat,binding_0.5,binding_0.7,binding_0.9
arith_easy_01,1.0,0,0,0
arith_easy_02,1.0,0,0,0
arith_easy_03,1.0,0,0,0
arith_easy_04,1.0,0,0,0
arith_easy_05,1.0,0,0,0
arith_easy_06,0.0,1,1,1
arith_easy_07,1.0,0,0,0
arith_easy_08,1.0,0,0,0
arith_easy_09,0.0,1,1,1
arith_easy_10,1.0,0,0,0
arith_easy_11,1.0,0,0,0
arith_easy_12,0.0,1,1,1
arith_easy_13,1.0,0,0,0
arith_easy_14,1.0,0,0,0
arith_easy_15,0.0,1,1,1
arith_easy_16,1.0,0,0,0
arith_easy_17,1.0,0,0,0
arith_easy_18,0.0,1,1,1
arith_easy_19,1.0,0,0,0
arith_easy_20,1.0,0,0,0
arith_hard_01,0.0,1,1,1
arith_hard_02,0.0,1,1,1
arith_hard_03,0.95,0,0,0
arith_hard_04,1.0,0,0,0
arith_hard_05,0.0,1,1,1
arith_hard_06,0.0,1,1,1
arith_hard_07,1.0,0,0,0
arith_hard_08,0.0,1,1,1
arith_hard_09,0.0,1,1,1
arith_hard_10,0.85,0,0,1
arith_hard_11,0.0,1,1,1
arith_hard_12,0.3,1,1,1
arith_hard_13,0.0,1,1,1
arith_hard_14,0.0,1,1,1
arith_hard_15,0.0,1,1,1
arith_hard_16,0.0,1,1,1
arith_hard_17,0.0,1,1,1
arith_hard_18,0.0,1,1,1
arith_hard_19,0.0,1,1,1
arith_hard_20,0.0,1,1,1
fact_common_01,1.0,0,0,0
fact_common_02,1.0,0,0,0
fact_common_03,0.05,1,1,1
fact_common_04,0.0,1,1,1
fact_common_05,0.0,1,1,1
fact_common_06,0.0,1,1,1
fact_common_07,0.0,1,1,1
fact_common_08,1.0,0,0,0
fact_common_09,1.0,0,0,0
fact_common_10,0.0,1,1,1
fact_common_11,0.0,1,1,1
fact_common_12,0.95,0,0,0
fact_common_13,0.85,0,0,1
fact_common_14,0.0,1,1,1
fact_common_15,0.0,1,1,1
fact_obscure_01,0.05,1,1,1
fact_obscure_02,0.0,1,1,1
fact_obscure_03,0.0,1,1,1
fact_obscure_04,1.0,0,0,0
fact_obscure_05,0.0,1,1,1
fact_obscure_06,0.0,1,1,1
fact_obscure_07,1.0,0,0,0
fact_obscure_08,0.0,1,1,1
fact_obscure_09,0.0,1,1,1
fact_obscure_10,1.0,0,0,0
fact_obscure_11,0.0,1,1,1
fact_obscure_12,0.3,1,1,1
fact_obscure_13,0.6,0,1,1
fact_obscure_14,0.0,1,1,1
fact_obscure_15,0.0,1,1,1
code_simple_01,0.0,1,1,1
code_simple_02,0.0,1,1,1
code_simple_03,0.0,1,1,1
code_simple_04,0.0,1,1,1
code_simple_05,0.0,1,1,1
code_simple_06,0.0,1,1,1
code_simple_07,0.0,1,1,1
code_simple_08,0.0,1,1,1
code_simple_09,0.0,1,1,1
code_simple_10,0.0,1,1,1
code_simple_11,0.0,1,1,1
code_simple_12,0.0,1,1,1
code_simple_13,0.0,1,1,1
code_simple_14,0.0,1,1,1
code_simple_15,0.0,1,1,1
code_algo_01,0.0,1,1,1
code_algo_02,0.0,1,1,1
code_algo_03,0.0,1,1,1
code_algo_04,0.0,1,1,1
code_algo_05,0.0,1,1,1
code_algo_06,0.0,1,1,1
code_algo_07,0.0,1,1,1
code_algo_08,0.0,1,1,1
code_algo_09,0.0,1,1,1
code_algo_10,0.0,1,1,1
code_algo_11,0.0,1,1,1
code_algo_12,0.0,1,1,1
code_algo_13,0.0,1,1,1
code_algo_14,0.0,1,1,1
code_algo_15,0.0,1,1,1
