task_id,category,N,w_ratio,w_C,w_A,r_min,seed,r_selected,y,V_selected,brier,gate_cleared
arith_easy_01,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_easy_02,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_easy_03,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_easy_04,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_easy_05,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_easy_06,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_easy_07,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_easy_08,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_easy_09,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_easy_10,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_easy_11,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_easy_12,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_easy_13,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_easy_14,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_easy_15,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_easy_16,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_easy_17,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_easy_18,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_easy_19,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_easy_20,arithmetic_easy,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_hard_01,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_hard_02,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_hard_03,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_hard_04,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_hard_05,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_hard_06,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_hard_07,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_hard_08,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_hard_09,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_hard_10,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,1,0.0,0.0,1
arith_hard_11,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_hard_12,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_hard_13,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_hard_14,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_hard_15,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_hard_16,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
arith_hard_17,arithmetic_hard,1,0,1.0,0.0,0.5,2004,1.0,0,-1.0,1.0,1
