task,category,seed,r_logprob,answer,y,acted
arith_easy_01,arithmetic_easy,4,0.9152246156241374,788,1,1
arith_easy_02,arithmetic_easy,4,0.934890167119902,-734,1,1
arith_easy_03,arithmetic_easy,4,0.9023086222141403,75660,1,1
arith_easy_04,arithmetic_easy,4,0.9131294483907333,390,1,1
arith_easy_05,arithmetic_easy,4,0.9259850288892757,650,1,1
arith_easy_06,arithmetic_easy,4,0.8995685691443087,"538,496",0,1
arith_easy_07,arithmetic_easy,4,0.9617051533593184,1491,1,1
arith_easy_08,arithmetic_easy,4,0.9341218010334342,-515,1,1
arith_easy_09,arithmetic_easy,4,0.8378084539673684,"18,644",0,1
arith_easy_10,arithmetic_easy,4,0.9265911234878624,145,1,1
arith_easy_11,arithmetic_easy,4,0.9222800200171164,-15,1,1
arith_easy_12,arithmetic_easy,4,0.7192391641299637,"328,562",0,1
arith_easy_13,arithmetic_easy,4,0.9323641634478158,621,1,1
arith_easy_14,arithmetic_easy,4,0.9447445243149662,-530,1,1
arith_easy_15,arithmetic_easy,4,0.930428682688904,"489,300",0,1
arith_easy_16,arithmetic_easy,4,0.9327703240127957,1007,1,1
arith_easy_17,arithmetic_easy,4,0.9333205884199626,-234,1,1
arith_easy_18,arithmetic_easy,4,0.7566860966896418,"179,462",0,1
arith_easy_19,arithmetic_easy,4,0.9232212981174566,1738,1,1
arith_easy_20,arithmetic_easy,4,0.9415313111316458,-771,1,1
arith_hard_01,arithmetic_hard,4,0.9061699690498192,-151,1,1
arith_hard_02,arithmetic_hard,4,0.7213754222008704,"20,685",0,1
arith_hard_03,arithmetic_hard,4,0.9123440285838832,33,1,1
arith_hard_04,arithmetic_hard,4,0.9040386191408818,194,0,1
arith_hard_05,arithmetic_hard,4,0.8161508697234323,-5482,0,1
arith_hard_06,arithmetic_hard,4,0.7998144569558997,6079,0,1
arith_hard_07,arithmetic_hard,4,0.9252241900033827,58,1,1
arith_hard_08,arithmetic_hard,4,0.729373733852436,"28,053",0,1
arith_hard_09,arithmetic_hard,4,0.7761829643097078,21498,0,1
arith_hard_10,arithmetic_hard,4,0.9296162429087409,636,1,1
arith_hard_11,arithmetic_hard,4,0.660792738959222,4386,0,1
arith_hard_12,arithmetic_hard,4,0.8988181754215139,-127,0,1
arith_hard_13,arithmetic_hard,4,0.9035812807193527,"493 


Here's how to solve it using the order of operations (PEMDAS/BODMAS):

1. **Multiplication:** 121 * 20 = 2420
2. **Subtraction:** 193 - 2420 = -2227
3. **Addition:** -2227 + 131 = -2096",1,1
arith_hard_14,arithmetic_hard,4,0.7082457553199499,8470,0,1
arith_hard_15,arithmetic_hard,4,0.5816398557321825,-26378,0,1
arith_hard_16,arithmetic_hard,4,0.9517451333910903,1557,0,1
arith_hard_17,arithmetic_hard,4,0.7919210734720814,3647,1,1
arith_hard_18,arithmetic_hard,4,0.6828097041265324,13659,0,1
arith_hard_19,arithmetic_hard,4,0.9448867994556759,213,0,1
arith_hard_20,arithmetic_hard,4,0.9151647492321936,-360,1,1
fact_common_01,factual_common,4,0.9300337048946979,Au,1,1
fact_common_02,factual_common,4,0.9245984595943126,Tokyo,1,1
fact_common_03,factual_common,4,0.9298287615849148,8,1,1
fact_common_04,factual_common,4,0.9508410517634327,1945,1,1
fact_common_05,factual_common,4,0.7681402327698785,"300,000  km/s",0,1
fact_common_06,factual_common,4,0.8574791026682276,Pacific Ocean,1,1
fact_common_07,factual_common,4,0.9170510206499664,William Shakespeare,1,1
fact_common_08,factual_common,4,0.9150126108284715,12,1,1
fact_common_09,factual_common,4,0.9417456797692271,Hydrogen,1,1
fact_common_10,factual_common,4,0.8329312586660341,"46  (Humans have 23 pairs of chromosomes, for a total of 46)",1,1
fact_common_11,factual_common,4,0.7472341146412557,100  celsius,1,1
fact_common_12,factual_common,4,0.8157794574177373,Mercury,1,1
fact_common_13,factual_common,4,0.8308416912528777,H₂O,0,1
fact_common_14,factual_common,4,0.924339571319399,7,1,1
fact_common_15,factual_common,4,0.8874216620238593,The Nile River is generally considered the longest river in the world.,1,1
fact_obscure_01,factual_obscure,4,0.9646684802141016,5600,0,1
fact_obscure_02,factual_obscure,4,0.9228520384033608,Vatican City,1,1
fact_obscure_03,factual_obscure,4,0.9341087645665171,1648,1,1
fact_obscure_04,factual_obscure,4,0.9588738982336928,76,1,1
