task_id,category,N,w_ratio,w_C,w_A,r_min,seed,r_selected,y,V_selected,brier,gate_cleared
arith_easy_01,arithmetic_easy,1,0,1.0,0.0,0.5,2001,1.0,1,0.0,0.0,1
arith_easy_02,arithmetic_easy,1,0,1.0,0.0,0.5,2001,0.9875,1,-0.0001562499999999989,0.0001562499999999989,1
arith_easy_03,arithmetic_easy,1,0,1.0,0.0,0.5,2001,0.99,0,-0.9801,0.9801,1
arith_easy_04,arithmetic_easy,1,0,1.0,0.0,0.5,2001,1.0,1,0.0,0.0,1
arith_easy_05,arithmetic_easy,1,0,1.0,0.0,0.5,2001,0.95,1,-0.0025000000000000044,0.0025000000000000044,1
arith_easy_06,arithmetic_easy,1,0,1.0,0.0,0.5,2001,0.9567431902822662,0,-0.9153575321514886,0.9153575321514886,1
arith_easy_07,arithmetic_easy,1,0,1.0,0.0,0.5,2001,1.0,1,0.0,0.0,1
arith_easy_08,arithmetic_easy,1,0,1.0,0.0,0.5,2001,0.0,1,-1.0,1.0,0
arith_easy_09,arithmetic_easy,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
arith_easy_10,arithmetic_easy,1,0,1.0,0.0,0.5,2001,1.0,1,0.0,0.0,1
arith_easy_11,arithmetic_easy,1,0,1.0,0.0,0.5,2001,0.8,0,-0.6400000000000001,0.6400000000000001,1
arith_easy_12,arithmetic_easy,1,0,1.0,0.0,0.5,2001,0.9568,0,-0.91546624,0.91546624,1
arith_easy_13,arithmetic_easy,1,0,1.0,0.0,0.5,2001,1.0,1,0.0,0.0,1
arith_easy_14,arithmetic_easy,1,0,1.0,0.0,0.5,2001,0.9,1,-0.009999999999999995,0.009999999999999995,1
arith_easy_15,arithmetic_easy,1,0,1.0,0.0,0.5,2001,0.956,0,-0.913936,0.913936,1
arith_easy_16,arithmetic_easy,1,0,1.0,0.0,0.5,2001,1.0,1,0.0,0.0,1
arith_easy_17,arithmetic_easy,1,0,1.0,0.0,0.5,2001,0.99,1,-0.00010000000000000018,0.00010000000000000018,1
arith_easy_18,arithmetic_easy,1,0,1.0,0.0,0.5,2001,0.99,0,-0.9801,0.9801,1
arith_easy_19,arithmetic_easy,1,0,1.0,0.0,0.5,2001,1.0,1,0.0,0.0,1
arith_easy_20,arithmetic_easy,1,0,1.0,0.0,0.5,2001,0.0,1,-1.0,1.0,0
arith_hard_01,arithmetic_hard,1,0,1.0,0.0,0.5,2001,0.95,0,-0.9025,0.9025,1
arith_hard_02,arithmetic_hard,1,0,1.0,0.0,0.5,2001,0.9875,0,-0.9751562500000001,0.9751562500000001,1
arith_hard_03,arithmetic_hard,1,0,1.0,0.0,0.5,2001,0.99999999999,0,-0.99999999998,0.99999999998,1
arith_hard_04,arithmetic_hard,1,0,1.0,0.0,0.5,2001,1.0,1,0.0,0.0,1
arith_hard_05,arithmetic_hard,1,0,1.0,0.0,0.5,2001,0.99,0,-0.9801,0.9801,1
arith_hard_06,arithmetic_hard,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
arith_hard_07,arithmetic_hard,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
arith_hard_08,arithmetic_hard,1,0,1.0,0.0,0.5,2001,0.987654321,0,-0.9754610577899709,0.9754610577899709,1
arith_hard_09,arithmetic_hard,1,0,1.0,0.0,0.5,2001,0.975,0,-0.9506249999999999,0.9506249999999999,1
arith_hard_10,arithmetic_hard,1,0,1.0,0.0,0.5,2001,1.0,1,0.0,0.0,1
